ConfigHash,CommitSHA,Seed,Condition,Acyclic,RootReachable,OrphanCount,DuplicateBridgeCount,LeafCount,BridgeCount,BridgeRatio,TotalNodes,ResidualCount,WeightedLeafPurity,DendrogramPurity,SphericalSilhouette,TotalDasguptaCost,NormalisedSackinIndex,SourceA_Count,SourceB_Count,RoutingECE,BrierScore,AvgMatchCount,NoMatchRate,MaxAssignmentCapRate,Top1Accuracy,AnyMatchAccuracy,MacroF1,BorderlineRate,SoftDegreeMean,EntropyGuardRate,SoftEffSampleSize,CrossAnchorMigrationRate,CanonicalAdaptedJaccard,CanonicalAdaptedSymDiffMass,RhoCanonicalHard,RhoAdaptedHard,RhoAdaptedSoft,DeltaRhoGeom,DeltaRhoSoft,DeltaRhoTotal,SmallLeafFraction,KappaShrinkageMean,SelectedNodeP10QueryCount,SelectedNodeStarvedLeafFraction,SelectedNodeLeafBalanceEntropy,SourceBBridgeCount,SourceBDepth2Count,SourceBPerAnchorMean,BridgeStabilityScore
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,42,MAIN,true,true,0,0,104,0,0.0000,167,0,0.7339479043841783,0.47206131304810656,0.1205050268486247,6.5472097872402466E10,3.326923076923077,0,0,0.19958623636181572,0.48018831187914107,1.1531808035714286,0.0,0.0,0.7419084821428571,0.7606026785714286,0.7254274954558186,0.14927455357142858,2.0261682242990653,0.6822429906542056,3708.577822982945,0.25809151785714285,0.07646153846153847,0.9235384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,4.446026193768938,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,42,KMEANS_BASELINE,true,true,0,0,104,0,0.0000,105,0,0.7585677749360614,0.14420050443100668,0.1143274366341948,2.4521005765641045E10,1.0,0,0,0.24775427412344253,0.49550854824688495,1.0,0.0,0.0,0.7505580357142857,0.7505580357142857,0.7318459530986571,0.0,0.0,0.0,3584.0,0.24944196428571427,0.0862655469331349,0.9137344530668651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.570307206254005,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,42,WARD_BASELINE,true,true,0,0,104,0,0.0000,105,0,0.7437340153452685,0.14613417773287132,0.11648770990244253,2.4491593618993893E10,1.0,0,0,0.8722109533468559,1.7444219066937119,1.0,0.0,0.0,0.12723214285714285,0.12723214285714285,0.09249035666499128,0.0,0.0,0.0,3584.0,0.8727678571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.548588318791628,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,42,RANDOMNULL_BASELINE,true,true,0,0,104,0,0.0000,167,0,0.1514066496163683,0.08592250520372396,0.009936450414101235,2.294743376300065E10,3.326923076923077,0,0,0.5054448215754315,1.0731717023702267,0.40234375,0.7762276785714286,0.0,0.03236607142857143,0.04631696428571429,0.036445780720058794,0.177734375,2.061224489795918,0.8665620094191523,3646.5343601962554,0.19084821428571427,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,4.446026193768938,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,137,MAIN,true,true,0,0,72,0,0.0000,111,0,0.7235639686684073,0.45308972530122454,0.11138340737238983,6.524048390566008E10,2.9583333333333335,0,0,0.5198321192546118,1.0277964754393056,0.21396772398441846,0.8158041179744018,0.0,0.053144129104062326,0.053144129104062326,0.047837209240433394,0.1775180856983862,2.043887147335423,0.8526645768025078,3663.4229811861715,0.11407902058987202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0389061716529016,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,137,KMEANS_BASELINE,true,true,0,0,72,0,0.0000,73,0,0.7370490682167892,0.1698039193831969,0.10856414992885742,2.3886466018956207E10,1.0,0,0,0.2533488642981945,0.5066977285963891,1.0,0.0,0.0,0.7456872565386756,0.7456872565386756,0.7203969894038639,0.0,0.0,0.0,3594.0,0.25431274346132443,0.10518518518518519,0.8948148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,4.190751757312387,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,137,WARD_BASELINE,true,true,0,0,72,0,0.0000,73,0,0.7331167720977945,0.17525207344979093,0.105898447521105,2.4149054318984993E10,1.0,0,0,0.9170064065230052,1.8340128130460105,1.0,0.0,0.0,0.08041179744017807,0.08041179744017807,0.05949682896170631,0.0,0.0,0.0,3594.0,0.9195882025598219,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,4.132057871067988,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,137,RANDOMNULL_BASELINE,true,true,0,0,72,0,0.0000,111,0,0.1359206702000342,0.08572281501876877,0.00821358247176903,2.2715671617102406E10,2.9583333333333335,0,0,0.5731090230502748,1.1023700868886968,0.41096271563717307,0.7704507512520868,0.0,0.020589872008903727,0.028658875904284918,0.022743434267907422,0.17640511964385086,2.0741324921135647,0.8343848580441641,3671.031760516771,0.20756816917084028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0389061716529016,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,2048,MAIN,true,true,0,0,78,0,0.0000,122,0,0.7295890708012577,0.4650439663040692,0.115280114883661,6.5317446157532715E10,2.9358974358974357,0,0,0.2012498495919243,0.914835745196284,0.34944444444444445,0.7172222222222222,0.0,0.16777777777777778,0.16805555555555557,0.16833102819061127,0.17305555555555555,2.0834670947030496,0.8282504012841091,3678.3300038932325,0.09166666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,4.150683411818317,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,2048,KMEANS_BASELINE,true,true,0,0,78,0,0.0000,79,0,0.7375511596180082,0.16529781660003523,0.10978681259965939,2.42513975513863E10,1.0,0,0,0.29392971246006394,0.5878594249201278,1.0,0.0,0.0,0.7069444444444445,0.7069444444444445,0.6775318467119205,0.0,0.0,0.0,3600.0,0.29305555555555557,0.09309488674958424,0.9069051132504158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,4.255090583967089,0,0,0.0,NA
