snapshot_id,node_id,label,depth,n,k,observed_sep,site_null_p50,site_null_p95,q_site,site_reach_pct,site_accept_pct,defl_dims,defl_null_p50,defl_null_p95,q_deflated,defl_reach_pct,defl_accept_pct,cert_site_p95,cert_deflated_p95,trunk_member,feasibility,reps
"20260908_113337_Headless_Run_Auto_ge","n00000006","Chemistry",1,934,3,0.094927,0.044204,0.049401,0.0000,98.3,98.3,2,0.017730,0.020891,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_113337_Headless_Run_Auto_ge","n00000011","Math",1,899,2,0.026322,0.019959,0.027182,0.0800,100.0,14.0,1,0.019389,0.024625,0.0167,100.0,4.0,false,true,false,OK,300
"20260908_113337_Headless_Run_Auto_ge","n00000015","Engineering",1,622,2,0.064049,0.000000,0.062224,0.0233,31.7,31.7,1,0.022209,0.026724,0.0000,79.7,17.0,true,true,true,OK,300
"20260908_113337_Headless_Run_Auto_ge","n00000013","Computer science",1,552,2,0.026196,0.000000,0.035104,0.2700,28.0,27.3,1,0.000000,0.026822,0.0667,38.0,12.3,false,false,false,OK,300
"20260908_113337_Headless_Run_Auto_ge","n00000018","Emergent Concept #3",2,448,2,0.029799,0.021481,0.030858,0.0867,59.7,30.0,1,0.020381,0.031232,0.1133,52.3,37.0,false,false,false,OK,300
