snapshot_id,node_id,label,depth,n,k,observed_sep,site_null_p50,site_null_p95,q_site,site_reach_pct,site_accept_pct,defl_dims,defl_null_p50,defl_null_p95,q_deflated,defl_reach_pct,defl_accept_pct,cert_site_p95,cert_deflated_p95,trunk_member,feasibility,reps
"20260909_171428_Headless_Run_Auto_ge","n00000061","Emergent Concept #46",2,248,2,0.052769,0.056200,0.063936,0.6100,100.0,100.0,1,0.032709,0.050873,0.0367,100.0,99.3,false,true,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000043","Emergent Concept #28",2,229,3,0.038718,0.026907,0.031977,0.0467,100.0,85.0,2,0.025028,0.028397,0.0000,100.0,50.7,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000045","Emergent Concept #30",2,221,2,0.026812,0.030121,0.050540,0.9133,100.0,99.3,1,0.027513,0.031847,0.6100,100.0,87.0,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000028","Emergent Concept #13",2,218,2,0.031205,0.030836,0.036533,0.4633,100.0,99.3,1,0.026104,0.030852,0.0433,100.0,71.7,false,true,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000020","Emergent Concept #5",2,212,2,0.028654,0.036972,0.057941,0.9933,100.0,100.0,1,0.030406,0.048512,0.7133,100.0,99.0,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000059","Emergent Concept #44",2,201,2,0.026152,0.035303,0.043821,0.9933,100.0,99.7,1,0.028088,0.033433,0.8200,100.0,92.0,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000044","Emergent Concept #29",2,196,2,0.028411,0.030531,0.037915,0.7833,99.7,99.0,1,0.027289,0.031998,0.2767,100.0,90.0,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000030","Emergent Concept #15",2,180,2,0.026344,0.031384,0.035594,0.9900,100.0,100.0,1,0.030904,0.035502,0.9500,100.0,98.7,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000042","Emergent Concept #27",2,171,2,0.026760,0.031422,0.035811,0.9700,100.0,99.3,1,0.028769,0.032810,0.8267,100.0,95.3,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000066","Emergent Concept #51",2,168,2,0.030222,0.032988,0.038617,0.8400,100.0,99.3,1,0.029487,0.034834,0.3800,100.0,95.3,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000031","Emergent Concept #16",2,164,2,0.029455,0.032562,0.036914,0.9100,100.0,99.7,1,0.031424,0.035954,0.7700,100.0,100.0,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000086","Emergent Concept #71",3,237,2,0.029857,0.035179,0.058306,0.9233,100.0,100.0,1,0.031601,0.053138,0.7133,100.0,99.7,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000078","Emergent Concept #63",3,213,2,0.025068,0.027681,0.032782,0.9233,100.0,92.7,1,0.026958,0.030368,0.8367,100.0,84.0,false,false,false,OK,300
